country,category,parameter,mode,powertrain,year,unit,value,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49,AUS,22357032,1024000327680,19.053,0.491,137.211,3.068,114.953,2.57,1.003,0.197,749.415,-2.524,-15.332,26482.146,592.062,7692.434,171.98,-2.195,-63.976,127513.047,2850.813,67.106,37.987,256.28,256.28,17.044,3.298,49.764,69714.188,1.522,1.813,26.177,10093.916,225.67,65748.539,1469.942,88.056,94.312,4.338,13.755,330.82,2181.864,48.78,14797.118,3.47,18.26,24355.43,544.515,19.034,21.225,192.06,42.383,15.839,53.992,875.34,19.57,2415.007,7.636,3.464,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,0,0,NA,0,0,0,0,0,0,0,5.344,27.754,547.06,219.618,4.91,24469.271,-13.095,-37.521,11137.978,249.012,1.916,35.099,8.216,2.574,NA,5.423,0.423,115.129,NA,367.504,1.004,NA,0.527,11463.061,1558.602,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,109.129,2.927,5.64,91.246,2.04,252.278,0.796,0.362,29.027,3.907,17.744,287.605,6.43,793.65,2.509,1.138
Australia,Historical,EV stock share,Cars,EV,2011,percent,3.900000010617e-4,AUS,22357032,1024000327680,19.053,0.491,137.211,3.068,114.953,2.57,1.003,0.197,749.415,-2.524,-15.332,26482.146,592.062,7692.434,171.98,-2.195,-63.976,127513.047,2850.813,67.106,37.987,256.28,256.28,17.044,3.298,49.764,69714.188,1.522,1.813,26.177,10093.916,225.67,65748.539,1469.942,88.056,94.312,4.338,13.755,330.82,2181.864,48.78,14797.118,3.47,18.26,24355.43,544.515,19.034,21.225,192.06,42.383,15.839,53.992,875.34,19.57,2415.007,7.636,3.464,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,0,0,NA,0,0,0,0,0,0,0,5.344,27.754,547.06,219.618,4.91,24469.271,-13.095,-37.521,11137.978,249.012,1.916,35.099,8.216,2.574,NA,5.423,0.423,115.129,NA,367.504,1.004,NA,0.527,11463.061,1558.602,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,109.129,2.927,5.64,91.246,2.04,252.278,0.796,0.362,29.027,3.907,17.744,287.605,6.43,793.65,2.509,1.138
Australia,Historical,EV sales share,Cars,EV,2011,percent,0.00650000013411045,AUS,22357032,1024000327680,19.053,0.491,137.211,3.068,114.953,2.57,1.003,0.197,749.415,-2.524,-15.332,26482.146,592.062,7692.434,171.98,-2.195,-63.976,127513.047,2850.813,67.106,37.987,256.28,256.28,17.044,3.298,49.764,69714.188,1.522,1.813,26.177,10093.916,225.67,65748.539,1469.942,88.056,94.312,4.338,13.755,330.82,2181.864,48.78,14797.118,3.47,18.26,24355.43,544.515,19.034,21.225,192.06,42.383,15.839,53.992,875.34,19.57,2415.007,7.636,3.464,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,0,0,NA,0,0,0,0,0,0,0,5.344,27.754,547.06,219.618,4.91,24469.271,-13.095,-37.521,11137.978,249.012,1.916,35.099,8.216,2.574,NA,5.423,0.423,115.129,NA,367.504,1.004,NA,0.527,11463.061,1558.602,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,109.129,2.927,5.64,91.246,2.04,252.278,0.796,0.362,29.027,3.907,17.744,287.605,6.43,793.65,2.509,1.138
Australia,Historical,EV stock,Cars,BEV,2011,Vehicles,49,AUS,22357032,1024000327680,19.053,0.491,137.211,3.068,114.953,2.57,1.003,0.197,749.415,-2.524,-15.332,26482.146,592.062,7692.434,171.98,-2.195,-63.976,127513.047,2850.813,67.106,37.987,256.28,256.28,17.044,3.298,49.764,69714.188,1.522,1.813,26.177,10093.916,225.67,65748.539,1469.942,88.056,94.312,4.338,13.755,330.82,2181.864,48.78,14797.118,3.47,18.26,24355.43,544.515,19.034,21.225,192.06,42.383,15.839,53.992,875.34,19.57,2415.007,7.636,3.464,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,0,0,NA,0,0,0,0,0,0,0,5.344,27.754,547.06,219.618,4.91,24469.271,-13.095,-37.521,11137.978,249.012,1.916,35.099,8.216,2.574,NA,5.423,0.423,115.129,NA,367.504,1.004,NA,0.527,11463.061,1558.602,36.249,23.587,88.66,1369.144,30.61,3965.651,11.944,5.688,109.129,2.927,5.64,91.246,2.04,252.278,0.796,0.362,29.027,3.907,17.744,287.605,6.43,793.65,2.509,1.138
Australia,Historical,EV stock,Cars,BEV,2012,Vehicles,220,AUS,22729272,1062662897664,-2.799,-0.086,131.186,2.982,136.388,3.1,1.237,0.194,746.988,-6.35,-37.594,24394.461,554.468,7276.08,165.38,8.457,241.096,136032.031,3091.909,65.978,36.096,250.66,250.66,16.914,-1.443,-22.489,67583.031,1.446,-1.443,-21.206,9696.307,220.39,63738.773,1448.736,87.924,94.312,0.613,2.029,332.848,2191.447,49.81,14644.045,7.042,38.343,25643.498,582.858,19.872,21.668,187.24,-12.957,-7.281,46.712,749.694,17.04,2055.13,6.798,3.041,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,0,0,NA,0,0,0,0,0,0,0,2.625,14.359,561.419,228.78,5.2,24700.266,-1.061,-2.642,10839.328,246.37,2.075,36.548,9.889,3.098,NA,20.354,1.672,136.293,NA,435.064,1.236,NA,0.644,11028.069,1536.113,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,17.972,0.973,6.614,106.031,2.41,290.971,0.961,0.431,20.103,3.438,21.181,339.65,7.72,931.902,3.08,1.379
Australia,Historical,EV stock,Cars,PHEV,2012,Vehicles,80,AUS,22729272,1062662897664,-2.799,-0.086,131.186,2.982,136.388,3.1,1.237,0.194,746.988,-6.35,-37.594,24394.461,554.468,7276.08,165.38,8.457,241.096,136032.031,3091.909,65.978,36.096,250.66,250.66,16.914,-1.443,-22.489,67583.031,1.446,-1.443,-21.206,9696.307,220.39,63738.773,1448.736,87.924,94.312,0.613,2.029,332.848,2191.447,49.81,14644.045,7.042,38.343,25643.498,582.858,19.872,21.668,187.24,-12.957,-7.281,46.712,749.694,17.04,2055.13,6.798,3.041,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,0,0,NA,0,0,0,0,0,0,0,2.625,14.359,561.419,228.78,5.2,24700.266,-1.061,-2.642,10839.328,246.37,2.075,36.548,9.889,3.098,NA,20.354,1.672,136.293,NA,435.064,1.236,NA,0.644,11028.069,1536.113,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,17.972,0.973,6.614,106.031,2.41,290.971,0.961,0.431,20.103,3.438,21.181,339.65,7.72,931.902,3.08,1.379
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80,AUS,22729272,1062662897664,-2.799,-0.086,131.186,2.982,136.388,3.1,1.237,0.194,746.988,-6.35,-37.594,24394.461,554.468,7276.08,165.38,8.457,241.096,136032.031,3091.909,65.978,36.096,250.66,250.66,16.914,-1.443,-22.489,67583.031,1.446,-1.443,-21.206,9696.307,220.39,63738.773,1448.736,87.924,94.312,0.613,2.029,332.848,2191.447,49.81,14644.045,7.042,38.343,25643.498,582.858,19.872,21.668,187.24,-12.957,-7.281,46.712,749.694,17.04,2055.13,6.798,3.041,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,0,0,NA,0,0,0,0,0,0,0,2.625,14.359,561.419,228.78,5.2,24700.266,-1.061,-2.642,10839.328,246.37,2.075,36.548,9.889,3.098,NA,20.354,1.672,136.293,NA,435.064,1.236,NA,0.644,11028.069,1536.113,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,17.972,0.973,6.614,106.031,2.41,290.971,0.961,0.431,20.103,3.438,21.181,339.65,7.72,931.902,3.08,1.379
Australia,Historical,EV sales share,Cars,EV,2012,percent,0.02999999932944774,AUS,22729272,1062662897664,-2.799,-0.086,131.186,2.982,136.388,3.1,1.237,0.194,746.988,-6.35,-37.594,24394.461,554.468,7276.08,165.38,8.457,241.096,136032.031,3091.909,65.978,36.096,250.66,250.66,16.914,-1.443,-22.489,67583.031,1.446,-1.443,-21.206,9696.307,220.39,63738.773,1448.736,87.924,94.312,0.613,2.029,332.848,2191.447,49.81,14644.045,7.042,38.343,25643.498,582.858,19.872,21.668,187.24,-12.957,-7.281,46.712,749.694,17.04,2055.13,6.798,3.041,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,0,0,NA,0,0,0,0,0,0,0,2.625,14.359,561.419,228.78,5.2,24700.266,-1.061,-2.642,10839.328,246.37,2.075,36.548,9.889,3.098,NA,20.354,1.672,136.293,NA,435.064,1.236,NA,0.644,11028.069,1536.113,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,17.972,0.973,6.614,106.031,2.41,290.971,0.961,0.431,20.103,3.438,21.181,339.65,7.72,931.902,3.08,1.379
Australia,Historical,EV stock share,Cars,EV,2012,percent,0.00240000011399388,AUS,22729272,1062662897664,-2.799,-0.086,131.186,2.982,136.388,3.1,1.237,0.194,746.988,-6.35,-37.594,24394.461,554.468,7276.08,165.38,8.457,241.096,136032.031,3091.909,65.978,36.096,250.66,250.66,16.914,-1.443,-22.489,67583.031,1.446,-1.443,-21.206,9696.307,220.39,63738.773,1448.736,87.924,94.312,0.613,2.029,332.848,2191.447,49.81,14644.045,7.042,38.343,25643.498,582.858,19.872,21.668,187.24,-12.957,-7.281,46.712,749.694,17.04,2055.13,6.798,3.041,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,0,0,NA,0,0,0,0,0,0,0,2.625,14.359,561.419,228.78,5.2,24700.266,-1.061,-2.642,10839.328,246.37,2.075,36.548,9.889,3.098,NA,20.354,1.672,136.293,NA,435.064,1.236,NA,0.644,11028.069,1536.113,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,17.972,0.973,6.614,106.031,2.41,290.971,0.961,0.431,20.103,3.438,21.181,339.65,7.72,931.902,3.08,1.379
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170,AUS,22729272,1062662897664,-2.799,-0.086,131.186,2.982,136.388,3.1,1.237,0.194,746.988,-6.35,-37.594,24394.461,554.468,7276.08,165.38,8.457,241.096,136032.031,3091.909,65.978,36.096,250.66,250.66,16.914,-1.443,-22.489,67583.031,1.446,-1.443,-21.206,9696.307,220.39,63738.773,1448.736,87.924,94.312,0.613,2.029,332.848,2191.447,49.81,14644.045,7.042,38.343,25643.498,582.858,19.872,21.668,187.24,-12.957,-7.281,46.712,749.694,17.04,2055.13,6.798,3.041,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,0,0,NA,0,0,0,0,0,0,0,2.625,14.359,561.419,228.78,5.2,24700.266,-1.061,-2.642,10839.328,246.37,2.075,36.548,9.889,3.098,NA,20.354,1.672,136.293,NA,435.064,1.236,NA,0.644,11028.069,1536.113,-1.299,-1.283,87.377,1331.763,30.27,3844.253,12.076,5.688,17.972,0.973,6.614,106.031,2.41,290.971,0.961,0.431,20.103,3.438,21.181,339.65,7.72,931.902,3.08,1.379
