Parameters,Helsinki-NLP BLEU Score,Helsinki-NLP METEOR Score,Fine-tuned Model BLEU Score,Fine-tuned Model METEOR Score
"max_new_tokens=512, num_beams=2, do_sample=True, top_k=50, top_p=0.9, temperature=1.0 ",48.70602,0.00881,52.6619,0.11475
"max_new_tokens=128, num_beams=4, early_stopping=True ",0,0.00473,20.90445,0.10118
"max_new_tokens=256, num_beams=4, no_repeat_ngram_size=3, repetition_penalty=1.2, length_penalty=1.0 ",0,0.00727,52.4074,0.1254
"max_new_tokens=256, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.1, temperature=0.8 ",0,0.00782,51.29767,0.12649
"max_new_tokens=512, num_beams=6, no_repeat_ngram_size=4, repetition_penalty=1.2, temperature=0, length_penalty=2.0 ",0.03434,0.04225,57.3937,0.12379
"max_new_tokens=256, num_beams=3, do_sample=True, temperature=1.2, top_p=0.7, top_k=100, early_stopping=True, length_penalty=1.1 ",0,0.00758,19.37795,0.11442
"max_new_tokens=300, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.3, length_penalty=1.5 ",0.74938,0.01813,53.21915,0.12435
"max_new_tokens=400, num_beams=4, no_repeat_ngram_size=2, early_stopping=True, temperature=0.5, repetition_penalty=1.05 ",0,0.00644,48.98365,0.13186
"max_new_tokens=350, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.2, do_sample=True, top_k=40, top_p=0.85, temperature=1.1 ",0.00061,0.00837,52.46137,0.12528
"max_new_tokens=512, num_beams=8, no_repeat_ngram_size=4, repetition_penalty=1.0, length_penalty=1.2, temperature=0.3, early_stopping=False ",0.00011,0.01656,52.66559,0.12465
"max_new_tokens=128, num_beams=5, length_penalty=0.8, no_repeat_ngram_size=2, do_sample=False, temperature=0.0 ",0,0.00545,51.30991,0.13201
"max_new_tokens=512, num_beams=4, no_repeat_ngram_size=3, repetition_penalty=1.3, length_penalty=2.0, temperature=1.0, early_stopping=True ",0,0.00763,54.61151,0.1255
"max_new_tokens=256, num_beams=2, no_repeat_ngram_size=2, repetition_penalty=1.0, do_sample=True, top_k=50, temperature=1.3, top_p=0.9 ",0,0.00932,43.58065,0.12685
"max_new_tokens=256, num_beams=8, no_repeat_ngram_size=4, repetition_penalty=1.1, length_penalty=1.0, temperature=0.6, top_p=0.95, do_sample=True ",0,0.00867,55.42347,0.12291
"max_new_tokens=400, num_beams=5, no_repeat_ngram_size=3, repetition_penalty=1.25, temperature=0.2, top_p=0.9, top_k=40, early_stopping=False ",0,0.00783,54.033,0.1248
"max_new_tokens=512, num_beams=6, no_repeat_ngram_size=2, repetition_penalty=1.05, length_penalty=2.0, temperature=0.9, do_sample=False ",0.02157,0.04098,48.53855,0.13312
"max_new_tokens=512, num_beams=4, no_repeat_ngram_size=3, repetition_penalty=1.3, temperature=1.4, top_k=100, top_p=0.8, length_penalty=1.3 ",0.04122,0.01247,54.61151,0.1255
"max_new_tokens=200, num_beams=3, no_repeat_ngram_size=3, repetition_penalty=1.2, temperature=0.7, do_sample=True, top_p=0.9, top_k=50 ",0,0.00819,51.12672,0.12615
"max_new_tokens=512, num_beams=5, no_repeat_ngram_size=5, repetition_penalty=1.3, length_penalty=1.0, temperature=0.0 ",0,0.0075,53.54939,0.12182
