"STATISTIC","Statistic Label","C03514V04244","Electoral Division","TLIST(A1)","Year","UNIT","VALUE"
"IIA10","Median earned income per person working","01001","001  Carlow Urban, Co. Carlow","2016","2016","Euro","27345"
"IIA10","Median earned income per person working","01002","002 Graigue Urban, Co. Carlow","2016","2016","Euro","22654"
"IIA10","Median earned income per person working","01003","003 Clonmore, Co. Carlow","2016","2016","Euro","22468"
"IIA10","Median earned income per person working","01004","004 Hacketstown, Co. Carlow","2016","2016","Euro","23988"
"IIA10","Median earned income per person working","01005","005 Haroldstown, Co. Carlow","2016","2016","Euro",""
"IIA10","Median earned income per person working","01006","006 Kineagh, Co. Carlow","2016","2016","Euro","28816"
"IIA10","Median earned income per person working","01007","007 Rahill, Co. Carlow","2016","2016","Euro","23383"
"IIA10","Median earned income per person working","01008","008 Rathvilly, Co. Carlow","2016","2016","Euro","20519"
"IIA10","Median earned income per person working","01009","009 Tiknock, Co. Carlow","2016","2016","Euro","25362"
"IIA10","Median earned income per person working","01010","010 Williamstown, Co. Carlow","2016","2016","Euro",""
"IIA10","Median earned income per person working","01011","011 Agha, Co. Carlow","2016","2016","Euro","26536"
"IIA10","Median earned income per person working","01012","012 Ballinacarrig (Part Urban), Co. Carlow","2016","2016","Euro","21600"
"IIA10","Median earned income per person working","01013","013 Ballintemple, Co. Carlow","2016","2016","Euro","22653"
"IIA10","Median earned income per person working","01014","014 Ballon, Co. Carlow","2016","2016","Euro","22158"
"IIA10","Median earned income per person working","01015","015 Ballyellin, Co. Carlow","2016","2016","Euro",""
"IIA10","Median earned income per person working","01016","016 Ballymoon, Co. Carlow","2016","2016","Euro","30118"
"IIA10","Median earned income per person working","01017","017 Borris, Co. Carlow","2016","2016","Euro","27461"
"IIA10","Median earned income per person working","01018","018 Burton Hall, Co. Carlow","2016","2016","Euro","17833"
"IIA10","Median earned income per person working","01019","019 Carlow Rural (Part Urban), Co Carlow","2016","2016","Euro","31888"
"IIA10","Median earned income per person working","01020","020 Clogrenan, Co. Carlow","2016","2016","Euro","42954"
"IIA10","Median earned income per person working","01021","021 Clonegall, Co. Carlow","2016","2016","Euro","25705"
"IIA10","Median earned income per person working","01022","022 Corries, Co. Carlow","2016","2016","Euro","24916"
"IIA10","Median earned income per person working","01023","023 Cranemore, Co. Carlow","2016","2016","Euro","22786"
"IIA10","Median earned income per person working","01024","024 Fennagh, Co. Carlow","2016","2016","Euro","19276"
"IIA10","Median earned income per person working","01025","025 Garryhill, Co. Carlow","2016","2016","Euro","32195"
"IIA10","Median earned income per person working","01026","026 Grangeford, Co. Carlow","2016","2016","Euro","29302"
"IIA10","Median earned income per person working","01027","027 Johnstown, Co. Carlow","2016","2016","Euro","32999"
"IIA10","Median earned income per person working","01028","028 Kellistown, Co. Carlow","2016","2016","Euro","23326"
"IIA10","Median earned income per person working","01029","029 Kilbride, Co. Carlow","2016","2016","Euro","21183"
"IIA10","Median earned income per person working","01030","030 Killedmond, Co. Carlow","2016","2016","Euro","23301"
"IIA10","Median earned income per person working","01031","031 Killerrig, Co. Carlow","2016","2016","Euro","27552"
"IIA10","Median earned income per person working","01032","032 Leighlinbridge, Co. Carlow","2016","2016","Euro","22464"
"IIA10","Median earned income per person working","01033","033 Muinebeag (Bagenalstown) Rural, Co. Carlow","2016","2016","Euro","26303"
"IIA10","Median earned income per person working","01034","034 Muinebeag (Bagenalstown) Urban, Co. Carlow","2016","2016","Euro","27839"
"IIA10","Median earned income per person working","01035","035 Myshall, Co. Carlow","2016","2016","Euro","24812"
"IIA10","Median earned income per person working","01036","036 Nurney, Co. Carlow","2016","2016","Euro","36253"
"IIA10","Median earned income per person working","01037","037 Oldleighlin, Co. Carlow","2016","2016","Euro","30416"
"IIA10","Median earned income per person working","01038","038 Rathanna, Co. Carlow","2016","2016","Euro",""
"IIA10","Median earned income per person working","01039","039 Rathornan, Co. Carlow","2016","2016","Euro","17794"
"IIA10","Median earned income per person working","01040","040 Rathrush, Co. Carlow","2016","2016","Euro","27928"
"IIA10","Median earned income per person working","01041","041 Ridge, Co. Carlow","2016","2016","Euro",""
"IIA10","Median earned income per person working","01042","042 Shangarry, Co. Carlow","2016","2016","Euro","18556"
"IIA10","Median earned income per person working","01043","043 Sliguff, Co. Carlow","2016","2016","Euro","10842"
"IIA10","Median earned income per person working","01044","044 Tankardstown, Co. Carlow","2016","2016","Euro","20291"
"IIA10","Median earned income per person working","01045","045 Templepeter, Co. Carlow","2016","2016","Euro","22516"
"IIA10","Median earned income per person working","01046","046 Tullowbeg, Co. Carlow","2016","2016","Euro","28807"
"IIA10","Median earned income per person working","01047","047 Tullow Rural, Co. Carlow","2016","2016","Euro","19520"
"IIA10","Median earned income per person working","01048","048 Tullow Urban, Co. Carlow","2016","2016","Euro","25706"
"IIA10","Median earned income per person working","01049","049 Ballymurphy, Co. Carlow","2016","2016","Euro","17896"
"IIA10","Median earned income per person working","01050","050 Coonogue, Co. Carlow","2016","2016","Euro",""
"IIA10","Median earned income per person working","01051","051 Glynn, Co. Carlow","2016","2016","Euro","19650"
"IIA10","Median earned income per person working","01052","052 Kyle, Co. Carlow","2016","2016","Euro","20367"
"IIA10","Median earned income per person working","01053","053 Marley, Co. Carlow","2016","2016","Euro","23497"
"IIA10","Median earned income per person working","01054","054 Tinnahinch, Co. Carlow","2016","2016","Euro","19868"
"IIA10","Median earned income per person working","02001","001 Arran Quay A, Dublin City","2016","2016","Euro","33660"
"IIA10","Median earned income per person working","02002","002 Arran Quay B, Dublin City","2016","2016","Euro","41855"
"IIA10","Median earned income per person working","02003","003 Arran Quay C, Dublin City","2016","2016","Euro","40925"
"IIA10","Median earned income per person working","02004","004 Arran Quay D, Dublin City","2016","2016","Euro","37140"
"IIA10","Median earned income per person working","02005","005 Arran Quay E, Dublin City","2016","2016","Euro","24843"
"IIA10","Median earned income per person working","02006","006 Ashtown A, Dublin City","2016","2016","Euro","31647"
"IIA10","Median earned income per person working","02007","007 Ashtown B, Dublin City","2016","2016","Euro","29580"
"IIA10","Median earned income per person working","02008","008 Ayrfield, Dublin City","2016","2016","Euro","25075"
"IIA10","Median earned income per person working","02009","009 Ballybough A, Dublin City","2016","2016","Euro","28216"
"IIA10","Median earned income per person working","02010","010 Ballybough B, Dublin City","2016","2016","Euro","26868"
"IIA10","Median earned income per person working","02011","011 Ballygall A, Dublin City","2016","2016","Euro","21770"
"IIA10","Median earned income per person working","02012","012 Ballygall B, Dublin City","2016","2016","Euro","27820"
